    88575    0.147    0.000    0.147    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
       28    0.000    0.000    0.144    0.005 spines.py:155(cla)
        1    0.000    0.000    0.141    0.141 __init__.py:1834(__init__)
        1    0.141    0.141    0.141    0.141 {built-in method create}
     2109    0.008    0.000    0.134    0.000 markers.py:218(set_marker)
   101/73    0.000    0.000    0.127    0.002 axis.py:1907(_get_tick)
   330/13    0.001    0.000    0.126    0.010 {built-in method __import__}
     1227    0.002    0.000    0.125    0.000 markers.py:141(__init__)
  1370050    0.112    0.000    0.112    0.000 copy.py:192(_deepcopy_atomic)
     2109    0.002    0.000    0.111    0.000 markers.py:195(set_fillstyle)
    64556    0.088    0.000    0.108    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.107    0.107 colorbar.py:20(<module>)
      286    0.005    0.000    0.106    0.000 patches.py:386(draw)
    15995    0.023    0.000    0.104    0.000 transforms.py:81(__init__)
     6897    0.040    0.000    0.101    0.000 path.py:195(_update_values)
       15    0.000    0.000    0.100    0.007 legend.py:431(draw)
      497    0.000    0.000    0.097    0.000 patches.py:576(get_patch_transform)
      497    0.007    0.000    0.097    0.000 patches.py:560(_update_patch_transform)
      402    0.038    0.000    0.096    0.000 solution.py:315(find_first_operations)
        5    0.000    0.000    0.096    0.019 figure.py:921(clf)
    11891    0.012    0.000    0.095    0.000 transforms.py:1545(__init__)
        1    0.000    0.000    0.094    0.094 __init__.py:99(<module>)
     5946    0.010    0.000    0.093    0.000 transforms.py:1691(__init__)
      426    0.012    0.000    0.090    0.000 backend_agg.py:162(draw_text)
      536    0.001    0.000    0.089    0.000 patches.py:169(get_transform)
4166/3454    0.005    0.000    0.084    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
251095/251093    0.073    0.000    0.082    0.000 {built-in method isinstance}
  193/179    0.002    0.000    0.082    0.000 axis.py:378(_get_tick1line)
    90/15    0.001    0.000    0.081    0.005 offsetbox.py:252(draw)
   237236    0.081    0.000    0.081    0.000 {built-in method getattr}
    15998    0.067    0.000    0.080    0.000 weakref.py:101(__init__)
  193/179    0.001    0.000    0.078    0.000 axis.py:393(_get_tick2line)
 1220/952    0.002    0.000    0.074    0.000 spines.py:392(get_spine_transform)
 1264/952    0.001    0.000    0.072    0.000 spines.py:138(_ensure_position_is_set)
       44    0.000    0.000    0.071    0.002 spines.py:345(set_position)
        1    0.000    0.000    0.071    0.071 collections.py:10(<module>)
        7    0.000    0.000    0.070    0.010 __init__.py:1(<module>)
       60    0.000    0.000    0.068    0.001 text.py:1992(draw)
        4    0.000    0.000    0.067    0.017 axes.py:506(_init_axis)
     1042    0.016    0.000    0.065    0.000 lines.py:415(recache)
      882    0.001    0.000    0.065    0.000 lines.py:841(set_marker)
       12    0.000    0.000    0.064    0.005 backend_tkagg.py:561(show)
        5    0.000    0.000    0.063    0.013 backend_tkagg.py:61(draw_if_interactive)
       16    0.000    0.000    0.063    0.004 tkagg.py:5(blit)
     4670    0.006    0.000    0.063    0.000 transforms.py:122(invalidate)
    19615    0.062    0.000    0.062    0.000 {built-in method array}
     2505    0.008    0.000    0.060    0.000 transforms.py:1852(scale)
      882    0.001    0.000    0.060    0.000 lines.py:331(set_fillstyle)
